scenario,t,agent,queue_length,average_waiting_time,open_counters,reward,cumulative_reward
easy,1,baseline,3.0,0.2,1.0,-1.2000000000000002,-1.2000000000000002
easy,2,baseline,6.0,0.56,1.0,-2.1100000000000003,-3.3100000000000005
easy,3,baseline,7.0,0.9146666666666667,1.0,-2.714666666666667,-6.0246666666666675
easy,4,baseline,8.0,1.2650666666666668,1.0,-3.215066666666667,-9.239733333333334
easy,5,baseline,11.0,1.7453866666666669,1.0,-4.295386666666667,-13.535120000000001
easy,6,baseline,13.0,2.262976,1.0,-5.212976,-18.748096
easy,7,baseline,15.0,2.8103808,1.0,-6.1603808,-24.908476800000003
easy,8,baseline,9.0,2.5483046400000005,2.0,-5.09830464,-30.006781440000005
easy,9,baseline,8.0,2.305310378666667,2.0,-4.655310378666667,-34.662091818666674
easy,10,baseline,10.0,2.177581636266667,2.0,-4.877581636266667,-39.53967345493334
easy,11,baseline,7.0,1.975398642346667,2.0,-4.075398642346667,-43.61507209728001
easy,12,baseline,4.0,1.713652247210667,2.0,-3.213652247210667,-46.82872434449068
easy,13,baseline,5.0,1.704255131101867,1.0,-3.104255131101867,-49.932979475592546
easy,14,baseline,6.0,1.7634041048814937,1.0,-3.313404104881494,-53.24638358047404
easy,15,baseline,7.0,1.8773899505718619,1.0,-3.677389950571862,-56.9237735310459
easy,16,baseline,8.0,2.035245293790823,1.0,-3.985245293790823,-60.90901882483673
easy,17,baseline,9.0,2.2281962350326587,1.0,-4.378196235032659,-65.28721505986938
easy,18,baseline,9.0,2.3825569880261273,1.0,-4.532556988026127,-69.81977204789551
easy,19,baseline,13.0,2.7727122570875684,1.0,-5.722712257087569,-75.54248430498308
easy,20,baseline,12.0,3.0181698056700546,1.0,-5.768169805670055,-81.31065411065313
easy,21,baseline,11.0,3.147869177869377,1.0,-5.697869177869377,-87.00852328852251
easy,22,baseline,11.0,3.2516286756288353,1.0,-5.8016286756288356,-92.81015196415134
easy,23,baseline,10.0,3.267969607169735,1.0,-5.617969607169735,-98.42812157132109
easy,24,baseline,14.0,3.5477090190691216,1.0,-6.697709019069122,-105.12583059039021
easy,25,baseline,15.0,3.8381672152552975,1.0,-7.188167215255297,-112.3139978056455
easy,26,baseline,13.0,3.503867105537571,2.0,-6.853867105537572,-119.16786491118307
easy,27,baseline,8.0,3.0697603510967237,2.0,-5.419760351096724,-124.5876252622798
easy,28,baseline,7.0,2.6891416142107127,2.0,-4.789141614210713,-129.3767668764905
easy,29,baseline,4.0,2.2846466247019035,2.0,-3.784646624701903,-133.1614135011924
easy,30,baseline,10.0,2.49438396642819,1.0,-4.894383966428189,-138.0557974676206
easy,31,baseline,11.0,2.728840506475885,1.0,-5.328840506475886,-143.3846379740965
easy,32,baseline,12.0,2.9830724051807085,1.0,-5.7330724051807085,-149.1177103792772
easy,33,baseline,13.0,3.2531245908112334,1.0,-6.203124590811234,-155.32083497008844
easy,34,baseline,13.0,3.4691663393156538,1.0,-6.4191663393156535,-161.7400013094041
easy,35,baseline,15.0,3.7753330714525233,1.0,-7.125333071452523,-168.86533438085664
easy,36,baseline,15.0,3.520266457162019,2.0,-7.270266457162019,-176.13560083801866
easy,37,baseline,8.0,2.993990943507393,3.0,-5.643990943507392,-181.77959178152605
easy,38,baseline,5.0,2.5063038659170256,3.0,-4.606303865917025,-186.38589564744308
easy,39,baseline,7.0,2.238376426066954,2.0,-4.388376426066954,-190.77427207351002
easy,40,baseline,7.0,2.0240344741868963,2.0,-4.174034474186897,-194.94830654769692
easy,41,baseline,5.0,1.785894246016184,2.0,-3.485894246016184,-198.4342007937131
easy,42,baseline,5.0,1.7620487301462808,1.0,-3.1620487301462807,-201.59624952385937
easy,43,baseline,2.0,1.542972317450358,1.0,-2.292972317450358,-203.88922184130973
easy,44,baseline,0.0,1.2343778539602865,1.0,-1.5843778539602864,-205.47359969527002
easy,45,baseline,3.0,1.1875022831682294,1.0,-2.1375022831682293,-207.61110197843826
easy,46,baseline,3.0,1.1500018265345835,1.0,-2.1000018265345837,-209.71110380497285
easy,47,baseline,3.0,1.1200014612276668,1.0,-2.0700014612276667,-211.7811052662005
easy,48,baseline,8.0,1.4293345023154669,1.0,-3.379334502315467,-215.16043976851597
easy,49,baseline,9.0,1.7434676018523736,1.0,-3.9434676018523733,-219.10390737036835
easy,50,baseline,8.0,1.9281074148152322,1.0,-3.8781074148152324,-222.98201478518357
easy,51,baseline,11.0,2.275819265185519,1.0,-4.825819265185519,-227.80783405036908
easy,52,baseline,16.0,2.8873220788150817,1.0,-6.4373220788150824,-234.24515612918415
easy,53,baseline,13.0,2.7431909963853984,2.0,-6.093190996385398,-240.33834712556956
easy,54,baseline,12.0,2.5945527971083187,2.0,-5.744552797108319,-246.08289992267788
easy,55,baseline,10.0,2.4089755710199885,2.0,-5.108975571019989,-251.19187549369786
easy,56,baseline,11.0,2.2938471234826574,2.0,-5.193847123482658,-256.38572261718053
easy,57,baseline,6.0,2.035077698786126,2.0,-3.9350776987861265,-260.32080031596666
easy,58,baseline,8.0,1.8947288256955677,2.0,-4.194728825695568,-264.5155291416622
easy,59,baseline,5.0,1.682449727223121,2.0,-3.382449727223121,-267.89797886888533
easy,60,baseline,11.0,2.07929311511183,1.0,-4.67929311511183,-272.57727198399715
easy,61,baseline,12.0,2.463434492089464,1.0,-5.2634344920894645,-277.8407064760866
easy,62,baseline,16.0,3.037414260338238,1.0,-6.587414260338239,-284.42812073642483
easy,63,baseline,13.0,2.863264741603924,2.0,-6.213264741603925,-290.6413854780288
easy,64,baseline,9.0,2.5906117932831396,2.0,-5.140611793283139,-295.7819972713119
easy,65,baseline,5.0,2.239156101293178,2.0,-3.939156101293178,-299.7211533726051
easy,66,baseline,4.0,2.057991547701209,1.0,-3.2579915477012094,-302.97914492030634
easy,67,baseline,5.0,1.9797265714943006,1.0,-3.3297265714943007,-306.30887149180063
